"","variable","expected_gain","EVPI_do","EVPI_dont"
"n_years","n_years",NA,0,0
"discount_rate","discount_rate",1484438.47880199,0,1484438.47880199
"var_CV","var_CV",1504678.34450357,0,1504678.34450357
"var_CV_high","var_CV_high",1507228.85508782,0,1507228.85508782
"exchange_rate","exchange_rate",NA,0,0
"inaccurate_forecast_i1","inaccurate_forecast_i1",1516196.0454744,0,1516196.0454744
"inaccurate_forecast_i234","inaccurate_forecast_i234",1516327.96620521,0,1516327.96620521
"inaccurate_forecast_extreme_cold_i1234","inaccurate_forecast_extreme_cold_i1234",1512835.51400398,0,1512835.51400398
"affected_coeff_inaccurate_forecast_i1234","affected_coeff_inaccurate_forecast_i1234",1516404.99726337,0,1516404.99726337
"met_station_esta_i1","met_station_esta_i1",1517254.35234321,0,1517254.35234321
"met_station_main_i1","met_station_main_i1",1515037.01547882,0,1515037.01547882
"cost_forecasts_access_i1","cost_forecasts_access_i1",1516208.24642412,0,1516208.24642412
"cost_weekly_forecasts_i1234","cost_weekly_forecasts_i1234",1514624.84077869,0,1514624.84077869
"cost_seasonal_forecasts_i1234","cost_seasonal_forecasts_i1234",1514519.68961678,0,1514519.68961678
"cost_cb_translation_staff_i1234","cost_cb_translation_staff_i1234",1518463.35474188,0,1518463.35474188
"cb_translation_n12","cb_translation_n12",NA,0,0
"cb_translation_n234","cb_translation_n234",NA,0,0
"cost_cb_commune_i1234","cost_cb_commune_i1234",1512787.41119469,0,1512787.41119469
"n_communes","n_communes",NA,0,0
"leftlet_year1_i1234","leftlet_year1_i1234",1516701.97232116,0,1516701.97232116
"village_meeting_launch_i1234","village_meeting_launch_i1234",1516087.72081827,0,1516087.72081827
"video_i1234_peryear","video_i1234_peryear",1516649.78921083,0,1516649.78921083
"cost_print_seasonal_bulletinA0_i1234","cost_print_seasonal_bulletinA0_i1234",1514117.33855021,0,1514117.33855021
"n_print_per_year","n_print_per_year",NA,0,0
"n_per_village","n_per_village",NA,0,0
"cost_per_SMS_i123","cost_per_SMS_i123",1514348.70884962,0,1514348.70884962
"messages_per_time_rice_i123","messages_per_time_rice_i123",1512899.37489152,0,1512899.37489152
"number_times_per_year_rice_i123","number_times_per_year_rice_i123",1514328.7914901,0,1514328.7914901
"total_farm_households_i1234","total_farm_households_i1234",1515696.82450378,0,1515696.82450378
"total_households_i1234","total_households_i1234",1514353.33920288,0,1514353.33920288
"messages_per_time_animal_i123","messages_per_time_animal_i123",1516571.27490055,0,1516571.27490055
"number_times_per_year_animal_i12","number_times_per_year_animal_i12",1514183.12400068,0,1514183.12400068
"percent_animal_households_i1234","percent_animal_households_i1234",1514861.28944717,0,1514861.28944717
"commune_village_SMS_i3","commune_village_SMS_i3",NA,0,0
"n_village","n_village",NA,0,0
"allowance_village_leader_permonth_loud_i34","allowance_village_leader_permonth_loud_i34",1514198.32174653,0,1514198.32174653
"months_per_year","months_per_year",NA,0,0
"allowance_bulletin_collect_time_short_i4","allowance_bulletin_collect_time_short_i4",NA,0,0
"times_per_month","times_per_month",NA,0,0
"percent_short_distance_i4","percent_short_distance_i4",1516333.38263963,0,1516333.38263963
"allowance_bulletin_collect_time_long_i4","allowance_bulletin_collect_time_long_i4",NA,0,0
"percent_long_distance_i4","percent_long_distance_i4",1517791.30301297,0,1517791.30301297
"no_model_compare_i1234","no_model_compare_i1234",NA,0,0
"model_training_i1234","model_training_i1234",1510541.31192522,0,1510541.31192522
"n_training","n_training",NA,0,0
"percent_fertilizer_model_supporti1234","percent_fertilizer_model_supporti1234",NA,0,0
"plant_protection_support_i1234","plant_protection_support_i1234",NA,0,0
"model_monitor_i1234","model_monitor_i1234",1515626.61980042,0,1515626.61980042
"field_visit_i1234","field_visit_i1234",1515951.16557563,0,1515951.16557563
"SAA_TOT","SAA_TOT",1511524.36656569,0,1511524.36656569
"dialogue_village","dialogue_village",1514853.69601282,0,1514853.69601282
"n_dialogues","n_dialogues",NA,0,0
"cost_community_event","cost_community_event",1515678.87399853,0,1515678.87399853
"ME_district_i1234","ME_district_i1234",1516116.74390726,0,1516116.74390726
"ME_commune_i1234","ME_commune_i1234",1513787.42443936,0,1513787.42443936
"total_rice_area_i1234","total_rice_area_i1234",NA,0,0
"rice_area_drought_i1234","rice_area_drought_i1234",1512795.30491418,0,1512795.30491418
"chance_drought_i1234","chance_drought_i1234",1509718.18136749,0,1509718.18136749
"yield_change_i1234","yield_change_i1234",1516820.85607218,0,1516820.85607218
"rice_price","rice_price",1515759.63376372,0,1515759.63376372
"reduce_loss_drought_i1234","reduce_loss_drought_i1234",1514816.76927375,0,1514816.76927375
"seed_farmers_i1234","seed_farmers_i1234",1516434.13659257,0,1516434.13659257
"seed_guideline_i1234","seed_guideline_i1234",1514711.11207568,0,1514711.11207568
"price_seed_i1234","price_seed_i1234",1515599.98413423,0,1515599.98413423
"labor_pick_i1234","labor_pick_i1234",1513999.91290772,0,1513999.91290772
"chance_rain_cold_i1234","chance_rain_cold_i1234",1513693.57623132,0,1513693.57623132
"percent_reduce_reseed_times_i1234","percent_reduce_reseed_times_i1234",1518223.70597449,0,1518223.70597449
"reduce_reseed_costsperha_i1234","reduce_reseed_costsperha_i1234",NA,0,0
"reseed_area_percentage_i1234","reseed_area_percentage_i1234",1513572.06857783,0,1513572.06857783
"rate_seed_inno_i1","rate_seed_inno_i1",1517760.29912317,0,1517760.29912317
"rate_seed_imitation_i1","rate_seed_imitation_i1",1517419.12530793,0,1517419.12530793
"rate_seed_inno_i2","rate_seed_inno_i2",1515359.83625009,0,1515359.83625009
"rate_seed_imitation_i2","rate_seed_imitation_i2",1515433.09085595,0,1515433.09085595
"rate_seed_inno_i3","rate_seed_inno_i3",1513933.28185488,0,1513933.28185488
"rate_seed_imitation_i3","rate_seed_imitation_i3",1512152.80320326,0,1512152.80320326
"rate_seed_inno_i4","rate_seed_inno_i4",1515537.06283476,0,1515537.06283476
"rate_seed_imitation_i4","rate_seed_imitation_i4",1515147.24000006,0,1515147.24000006
"rate_saturated_i12","rate_saturated_i12",1518578.70428572,0,1518578.70428572
"rate_saturated_i34","rate_saturated_i34",1514297.24744109,0,1514297.24744109
"dis_adoption_i123","dis_adoption_i123",1474052.02763494,0,1474052.02763494
"dis_adoption_i4","dis_adoption_i4",1498573.36716213,0,1498573.36716213
"effective_rate","effective_rate",1514769.07147656,0,1514769.07147656
"NPK5105f_dose_i1234","NPK5105f_dose_i1234",NA,0,0
"NPK5105a_dose_i1234","NPK5105a_dose_i1234",NA,0,0
"NPK5105_price_i1234","NPK5105_price_i1234",1517022.49003537,0,1517022.49003537
"NPK12510f_dose_i1234","NPK12510f_dose_i1234",NA,0,0
"NPK12510a_dose_i1234","NPK12510a_dose_i1234",NA,0,0
"NPK12510_price_i1234","NPK12510_price_i1234",1515528.83868187,0,1515528.83868187
"Nf_dose_i1234","Nf_dose_i1234",1515649.61515331,0,1515649.61515331
"Na_dose_i1234","Na_dose_i1234",1515313.62290683,0,1515313.62290683
"N_price_i1234","N_price_i1234",1512663.4543265,0,1512663.4543265
"Kf_dose_i1234","Kf_dose_i1234",1517431.58854934,0,1517431.58854934
"Ka_dose_i1234","Ka_dose_i1234",1515658.62088303,0,1515658.62088303
"K_price_i1234","K_price_i1234",1515259.16025565,0,1515259.16025565
"chance_refertilize_reduced_i1234","chance_refertilize_reduced_i1234",1513499.51239561,0,1513499.51239561
"refertilize_area_percentage_i1234","refertilize_area_percentage_i1234",1514036.30045531,0,1514036.30045531
