"","variable","expected_gain","EVPI_do","EVPI_dont"
"n_years","n_years",NA,0,0
"discount_rate","discount_rate",5279961.98071219,0,5279961.98071219
"var_CV","var_CV",5351384.06063956,0,5351384.06063956
"var_CV_high","var_CV_high",5370061.57592527,0,5370061.57592527
"exchange_rate","exchange_rate",NA,0,0
"inaccurate_forecast_i1","inaccurate_forecast_i1",5388014.2827672,0,5388014.2827672
"inaccurate_forecast_i234","inaccurate_forecast_i234",5391691.43158343,0,5391691.43158343
"inaccurate_forecast_extreme_cold_i1234","inaccurate_forecast_extreme_cold_i1234",5394697.29202516,0,5394697.29202516
"affected_coeff_inaccurate_forecast_i1234","affected_coeff_inaccurate_forecast_i1234",5389213.27489172,0,5389213.27489172
"met_station_esta_i1","met_station_esta_i1",5387995.74958664,0,5387995.74958664
"met_station_main_i1","met_station_main_i1",5389259.95898687,0,5389259.95898687
"cost_forecasts_access_i1","cost_forecasts_access_i1",5396014.17741523,0,5396014.17741523
"cost_weekly_forecasts_i1234","cost_weekly_forecasts_i1234",5384839.55447833,0,5384839.55447833
"cost_seasonal_forecasts_i1234","cost_seasonal_forecasts_i1234",5390625.4051836,0,5390625.4051836
"cost_cb_translation_staff_i1234","cost_cb_translation_staff_i1234",5390756.43052742,0,5390756.43052742
"cb_translation_n12","cb_translation_n12",NA,0,0
"cb_translation_n234","cb_translation_n234",NA,0,0
"cost_cb_commune_i1234","cost_cb_commune_i1234",5393708.09885995,0,5393708.09885995
"n_communes","n_communes",NA,0,0
"leftlet_year1_i1234","leftlet_year1_i1234",5388056.17387788,0,5388056.17387788
"village_meeting_launch_i1234","village_meeting_launch_i1234",5390640.35799225,0,5390640.35799225
"video_i1234_peryear","video_i1234_peryear",5393839.02469353,0,5393839.02469353
"cost_print_seasonal_bulletinA0_i1234","cost_print_seasonal_bulletinA0_i1234",5386105.43599693,0,5386105.43599693
"n_print_per_year","n_print_per_year",NA,0,0
"n_per_village","n_per_village",NA,0,0
"cost_per_SMS_i123","cost_per_SMS_i123",5391242.58712658,0,5391242.58712658
"messages_per_time_rice_i123","messages_per_time_rice_i123",5390864.34679891,0,5390864.34679891
"number_times_per_year_rice_i123","number_times_per_year_rice_i123",5392686.61635749,0,5392686.61635749
"total_farm_households_i1234","total_farm_households_i1234",5390849.69528177,0,5390849.69528177
"total_households_i1234","total_households_i1234",5391402.13512244,0,5391402.13512244
"messages_per_time_animal_i123","messages_per_time_animal_i123",5393127.56058703,0,5393127.56058703
"number_times_per_year_animal_i12","number_times_per_year_animal_i12",5388665.62131714,0,5388665.62131714
"percent_animal_households_i1234","percent_animal_households_i1234",5384498.44470835,0,5384498.44470835
"commune_village_SMS_i3","commune_village_SMS_i3",NA,0,0
"n_village","n_village",NA,0,0
"allowance_village_leader_permonth_loud_i34","allowance_village_leader_permonth_loud_i34",5385278.77215963,0,5385278.77215963
"months_per_year","months_per_year",NA,0,0
"allowance_bulletin_collect_time_short_i4","allowance_bulletin_collect_time_short_i4",NA,0,0
"times_per_month","times_per_month",NA,0,0
"percent_short_distance_i4","percent_short_distance_i4",5389733.14187712,0,5389733.14187712
"allowance_bulletin_collect_time_long_i4","allowance_bulletin_collect_time_long_i4",NA,0,0
"percent_long_distance_i4","percent_long_distance_i4",5393967.14759847,0,5393967.14759847
"no_model_compare_i1234","no_model_compare_i1234",NA,0,0
"model_training_i1234","model_training_i1234",5391144.08857843,0,5391144.08857843
"n_training","n_training",NA,0,0
"percent_fertilizer_model_supporti1234","percent_fertilizer_model_supporti1234",NA,0,0
"plant_protection_support_i1234","plant_protection_support_i1234",NA,0,0
"model_monitor_i1234","model_monitor_i1234",5389098.5239075,0,5389098.5239075
"field_visit_i1234","field_visit_i1234",5389831.24221971,0,5389831.24221971
"SAA_TOT","SAA_TOT",5391456.98126501,0,5391456.98126501
"dialogue_village","dialogue_village",5392073.65765801,0,5392073.65765801
"n_dialogues","n_dialogues",NA,0,0
"cost_community_event","cost_community_event",5392558.84227355,0,5392558.84227355
"ME_district_i1234","ME_district_i1234",5390223.03235544,0,5390223.03235544
"ME_commune_i1234","ME_commune_i1234",5389547.47255188,0,5389547.47255188
"total_rice_area_i1234","total_rice_area_i1234",NA,0,0
"rice_area_drought_i1234","rice_area_drought_i1234",5381857.73427121,0,5381857.73427121
"chance_drought_i1234","chance_drought_i1234",5374321.80322282,0,5374321.80322282
"yield_change_i1234","yield_change_i1234",5392976.92100465,0,5392976.92100465
"rice_price","rice_price",5393011.7753284,0,5393011.7753284
"reduce_loss_drought_i1234","reduce_loss_drought_i1234",5385518.1386459,0,5385518.1386459
"seed_farmers_i1234","seed_farmers_i1234",5387329.59420352,0,5387329.59420352
"seed_guideline_i1234","seed_guideline_i1234",5386457.49065054,0,5386457.49065054
"price_seed_i1234","price_seed_i1234",5386943.65811336,0,5386943.65811336
"labor_pick_i1234","labor_pick_i1234",5389390.52538015,0,5389390.52538015
"chance_rain_cold_i1234","chance_rain_cold_i1234",5386916.80376993,0,5386916.80376993
"percent_reduce_reseed_times_i1234","percent_reduce_reseed_times_i1234",5392778.73514045,0,5392778.73514045
"reduce_reseed_costsperha_i1234","reduce_reseed_costsperha_i1234",NA,0,0
"reseed_area_percentage_i1234","reseed_area_percentage_i1234",5388282.15346218,0,5388282.15346218
