"","variable","expected_gain","EVPI_do","EVPI_dont"
"n_years","n_years",NA,0,0
"discount_rate","discount_rate",2931417.34545754,0,2931417.34545754
"var_CV","var_CV",2969968.03011182,0,2969968.03011182
"var_CV_high","var_CV_high",2980271.69131294,0,2980271.69131294
"exchange_rate","exchange_rate",NA,0,0
"inaccurate_forecast_i1","inaccurate_forecast_i1",2993235.49530987,0,2993235.49530987
"inaccurate_forecast_i234","inaccurate_forecast_i234",2993024.55649963,0,2993024.55649963
"inaccurate_forecast_extreme_cold_i1234","inaccurate_forecast_extreme_cold_i1234",2988523.22932759,0,2988523.22932759
"affected_coeff_inaccurate_forecast_i1234","affected_coeff_inaccurate_forecast_i1234",2989243.758186,0,2989243.758186
"met_station_esta_i1","met_station_esta_i1",2989905.24785182,0,2989905.24785182
"met_station_main_i1","met_station_main_i1",2990361.20553352,0,2990361.20553352
"cost_forecasts_access_i1","cost_forecasts_access_i1",2992950.13959561,0,2992950.13959561
"cost_weekly_forecasts_i1234","cost_weekly_forecasts_i1234",2986788.99891885,0,2986788.99891885
"cost_seasonal_forecasts_i1234","cost_seasonal_forecasts_i1234",2991015.81580832,0,2991015.81580832
"cost_cb_translation_staff_i1234","cost_cb_translation_staff_i1234",2993280.54195519,0,2993280.54195519
"cb_translation_n12","cb_translation_n12",NA,0,0
"cb_translation_n234","cb_translation_n234",NA,0,0
"cost_cb_commune_i1234","cost_cb_commune_i1234",2992151.49443384,0,2992151.49443384
"n_communes","n_communes",NA,0,0
"leftlet_year1_i1234","leftlet_year1_i1234",2990794.67312779,0,2990794.67312779
"village_meeting_launch_i1234","village_meeting_launch_i1234",2992335.38427837,0,2992335.38427837
"video_i1234_peryear","video_i1234_peryear",2992691.44698066,0,2992691.44698066
"cost_print_seasonal_bulletinA0_i1234","cost_print_seasonal_bulletinA0_i1234",2989890.48432965,0,2989890.48432965
"n_print_per_year","n_print_per_year",NA,0,0
"n_per_village","n_per_village",NA,0,0
"cost_per_SMS_i123","cost_per_SMS_i123",2989759.37213138,0,2989759.37213138
"messages_per_time_rice_i123","messages_per_time_rice_i123",2989609.85989474,0,2989609.85989474
"number_times_per_year_rice_i123","number_times_per_year_rice_i123",2992604.63205802,0,2992604.63205802
"total_farm_households_i1234","total_farm_households_i1234",2992086.92202246,0,2992086.92202246
"total_households_i1234","total_households_i1234",2992250.76623151,0,2992250.76623151
