"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.output_45"," 5.1e+04"," 5.2e+04"," 5.2e+04"," 5.4e+04"," 5.6e+04"," 5.7e+04"," 5.9e+04"," 6.0e+04","6.3e+04"," 5.6e+04","0.00","0","1.00"
"y.output_46"," 2.1e+05"," 2.1e+05"," 2.2e+05"," 2.2e+05"," 2.3e+05"," 2.3e+05"," 2.4e+05"," 2.4e+05","2.5e+05"," 2.3e+05","0.00","0","1.00"
"y.output_47"," 6.9e+04"," 7.4e+04"," 7.6e+04"," 7.8e+04"," 8.0e+04"," 8.3e+04"," 8.5e+04"," 8.6e+04","9.0e+04"," 8.0e+04","0.00","0","1.00"
"y.output_48"," 8.9e+04"," 9.3e+04"," 9.5e+04"," 9.7e+04"," 1.0e+05"," 1.0e+05"," 1.0e+05"," 1.1e+05","1.1e+05"," 9.9e+04","0.00","0","1.00"
"y.output_49"," 6.8e+04"," 7.5e+04"," 7.6e+04"," 7.8e+04"," 8.0e+04"," 8.2e+04"," 8.4e+04"," 8.5e+04","8.9e+04"," 8.0e+04","0.00","0","1.00"
"y.output_50"," 8.8e+04"," 9.2e+04"," 9.5e+04"," 9.7e+04"," 1.0e+05"," 1.0e+05"," 1.0e+05"," 1.0e+05","1.1e+05"," 9.9e+04","0.00","0","1.00"
"y.output_51","-2.9e+05","-8.4e+04"," 1.1e+05"," 4.7e+05"," 8.4e+05"," 1.2e+06"," 1.6e+06"," 1.7e+06","2.8e+06"," 8.5e+05","0.07","0","0.93"
"y.output_52","-2.5e+05","-1.5e+05","-3.5e+04"," 2.8e+05"," 5.9e+05"," 8.0e+05"," 1.1e+06"," 1.4e+06","2.3e+06"," 5.8e+05","0.12","0","0.88"
"y.output_53"," 1.7e+03"," 4.0e+05"," 5.9e+05"," 9.3e+05"," 1.4e+06"," 1.7e+06"," 2.2e+06"," 2.4e+06","3.5e+06"," 1.4e+06","0.00","0","1.00"
"y.output_54","-4.1e+05","-1.5e+05","-8.8e+04"," 1.9e+05"," 4.2e+05"," 7.3e+05"," 9.3e+05"," 1.2e+06","1.7e+06"," 4.7e+05","0.13","0","0.87"
"y.output_55"," 6.6e-01"," 8.9e-01"," 1.1e+00"," 1.6e+00"," 2.1e+00"," 2.6e+00"," 3.3e+00"," 3.4e+00","5.2e+00"," 2.2e+00","0.00","0","1.00"
"y.output_56"," 6.7e-01"," 7.6e-01"," 9.6e-01"," 1.4e+00"," 1.9e+00"," 2.2e+00"," 2.6e+00"," 3.0e+00","4.8e+00"," 1.9e+00","0.00","0","1.00"
"y.output_57"," 1.0e+00"," 2.1e+00"," 2.6e+00"," 3.6e+00"," 5.0e+00"," 5.9e+00"," 7.2e+00"," 7.7e+00","1.0e+01"," 4.9e+00","0.00","0","1.00"
"y.output_58"," 2.7e-01"," 7.2e-01"," 8.5e-01"," 1.3e+00"," 1.7e+00"," 2.3e+00"," 2.7e+00"," 3.1e+00","4.0e+00"," 1.8e+00","0.00","0","1.00"
