"","VIP","Coefficient"
"discount_rate",0.262386975844074,-9545.34141827718
"var_CV",0.329954076460012,-12003.3561194546
"var_CV_high",0.0272661583512959,991.912002456227
"chance_inaccurate_forecast_i1",0.576516046764278,20973.0017344714
"chance_inaccurate_forecast_i234",0.490360863122516,-17838.7735961675
"chance_inaccurate_forecast_extreme_cold_i1234",0.245005171153153,-8913.01102265857
"chance_inaccurate_forecast_extreme_drought_i1234",0.0723836215273452,2633.2342843894
"met_station_esta_i1",0.0357420348864462,1300.2548044833
"met_station_main_i1",0.0969086083497836,3525.42556692485
"cost_forecasts_access_i1",0.117223923183672,4264.47374370816
"cost_weekly_forecasts_i1234",0.00244114131280085,-88.8059599985351
"cost_seasonal_forecasts_i1234",0.0168253906523482,612.08868220652
"cost_cb_translation_staff_i1234",0.0397439216069003,1445.83891718982
"cost_cb_commune_i1234",0.145200214351803,-5282.21957487183
"leftlet_year1_i1234",0.214829336669226,-7815.24829337709
"village_meeting_launch_i1234",0.00382421541507939,139.120631565432
"video_i1234_peryear",0.0128243754741078,466.536275220019
"cost_print_seasonal_bulletinA0_i1234",0.156106234124122,5678.96823934491
"cost_per_SMS_i123",0.444993838244378,16188.3725417697
"messages_per_time_rice_i123",1.21043206712859,44034.1495884287
"number_times_per_year_rice_i123",0.230765800865222,8394.99883648837
"baseline_farm_households_i1234",0.193641465488622,-7044.45750357233
"baseline_households_i1234",0.16249439858622,5911.36243738265
"household_increase_rate",0.0721554733377707,-2624.93451129111
"messages_per_time_animal_i123",0.205124532371236,7462.19848927046
"number_times_per_year_animal_i123",0.118682003081278,4317.51704127662
"percent_animal_households_i1234",0.121441653021119,4417.90998488965
"allowance_village_leader_permonth_loud_i34",0.253300459686878,-9214.78423744107
"percent_short_distance_i4",0.274456812845061,-9984.42843723746
"model_training_i1234",0.194250126075642,7066.59988732543
"model_monitor_i1234",0.0458130867401022,1666.62828043452
"field_visit_i1234",0.292034811790257,10623.8961579285
"SAA_TOT",0.117887274830983,-4288.60572637841
"dialogue_village",0.0865381554103585,3148.1602180997
"cost_community_event",0.415698336596888,15122.6353254104
"ME_district_i1234",0.175696626052102,-6391.64454070809
"ME_commune_i1234",0.301196036930052,-10957.1711670547
"rice_area_drought_i1234",0.0395230743736336,1437.80474462454
"chance_drought_i1234",0.063691029229925,-2317.00760803915
"reduce_loss_drought_i1234",0.00649453900173519,-236.263983478811
"rice_profit_no_drought",0.608707612096003,22144.0944721792
"seed_baseline_i1234",0.292622894579897,-10645.2899446866
"seed_applied_i1234",0.0839170740858965,-3052.80824399132
"seed_advice_i1234",0.00951542746279586,346.160489029809
"price_seed_i1234",0.214515908027364,-7803.84611387785
"labor_pick_i1234",0.1340398377322,-4876.21769597531
"rate_seed_inno_i1",1.62764818255443,-59211.9999910098
"rate_seed_imitation_i1",0.736360503371405,-26787.962279772
"rate_seed_inno_i2",0.333805070618235,12143.4509314085
"rate_seed_imitation_i2",0.266339936620599,9689.14566047938
"rate_seed_inno_i3",1.85231785287617,67385.2284931257
"rate_seed_imitation_i3",0.75415333308632,27435.2453008891
"rate_seed_inno_i4",0.0839220181037947,3052.98810177071
"rate_seed_imitation_i4",0.189664828713688,-6899.79195532582
"rate_saturated_i12",0.933484615928661,-33959.1145447841
"rate_saturated_i34",0.224626512233437,8171.65845967578
"dis_adoption_i123",0.0402821378316096,-1465.4186147155
"dis_adoption_i4",0.247616590573328,-9008.01150761673
"effective_rate",0.904726131154911,32912.9133949187
"chance_resow_i1234",0.131022024635008,-4766.43306868359
"chance_resow_advice_i1234",0.196180110416448,-7136.81053480767
"resow_fer_area_percentage_i1234",0.208914871177433,-7600.08672811964
"labor_seed_fertilize_i1234",0.107541929086775,3912.25374891872
"NPK5105_baseline_i1234",0.887709689865938,32293.8745066324
"NPK5105_applied_i1234",0.38370485716874,-13958.7487288372
"NPK5105_price_i1234",0.135674058541225,4935.6688006836
"N_baseline_i1234",1.48373686861554,53976.6691553974
"N_applied_i1234",0.490727473484468,-17852.1104664944
"N_price_i1234",0.110983040506906,4037.43749044328
"K_baseline_i1234",0.57862811470164,21049.8363772576
"K_applied_i1234",0.600847741792714,-21858.1612801565
"K_price_i1234",0.0163692864728432,-595.49612801562
"rice_area_loss_severe_risks_i1234",0.0597253192319904,-2172.73956358158
"chance_refertilize_i1234",0.275327869466916,-10016.1164919646
"chance_refertilize_advice_i1234",0.259351426602455,-9434.91157011097
"rate_fer_pla_inno_i1",3.23415813335128,-117655.015018282
"rate_fer_pla_immi_i1",0.99564958639075,-36220.6058608408
