"","VIP","Coefficient"
"discount_rate",0.673746340764202,8189.78637213517
"var_CV",0.736023479774239,-8946.80193348346
"var_CV_high",1.61322540331835,-19609.7115841744
"chance_inaccurate_forecast_i1",0.528672103631623,6426.32297600206
"chance_inaccurate_forecast_i234",1.16362391649175,14144.5388523601
"chance_inaccurate_forecast_extreme_cold_i1234",1.30745188145918,15892.8530711596
"chance_inaccurate_forecast_extreme_drought_i1234",0.119528252173059,1452.93679758129
"met_station_esta_i1",0.846212218376684,-10286.2114043319
"met_station_main_i1",0.113575407792141,-1380.5764434887
"cost_forecasts_access_i1",0.132621309524063,1612.09067519822
"cost_weekly_forecasts_i1234",1.0576699362033,-12856.6053804608
"cost_seasonal_forecasts_i1234",0.204295955420714,2483.33850643126
"cost_cb_translation_staff_i1234",0.841200969428415,10225.2967011851
"cost_cb_commune_i1234",0.767321785984281,-9327.25140854729
"leftlet_year1_i1234",0.57074714090339,6937.7700088194
"village_meeting_launch_i1234",1.22575743663977,-14899.8086412599
"video_i1234_peryear",0.268910420166032,-3268.76564836392
"cost_print_seasonal_bulletinA0_i1234",0.146838052588635,1784.90361912355
"cost_per_SMS_i123",0.252196602997946,3065.59928769131
"messages_per_time_rice_i123",0.451903417335931,5493.1540624343
"number_times_per_year_rice_i123",0.303007072961111,-3683.23068587318
"baseline_farm_households_i1234",1.36473366395275,16589.1471112954
"baseline_households_i1234",1.08693531197231,-13212.3433802793
"household_increase_rate",0.392091466040934,-4766.10431986952
"messages_per_time_animal_i123",1.12611580787484,-13688.605545996
"number_times_per_year_animal_i123",1.60238530223333,19477.9437262029
"percent_animal_households_i1234",0.663343163247769,8063.32957927994
"allowance_village_leader_permonth_loud_i34",0.709856126089845,8628.72222954591
"percent_short_distance_i4",0.640490473058556,7785.54157605909
"model_training_i1234",1.84903776010435,22476.1506416342
"model_monitor_i1234",0.0559462030256179,680.059279568347
"field_visit_i1234",0.239465724011257,2910.84790290126
"SAA_TOT",0.398016197535331,-4838.12294515264
"dialogue_village",0.526835452944686,6403.99739758156
"cost_community_event",0.271123834973519,3295.67101812915
"ME_district_i1234",0.508985031865187,-6187.01494224393
"ME_commune_i1234",0.116925119215182,-1421.29417255554
"rice_area_drought_i1234",1.49626667806159,18188.0089102517
"chance_drought_i1234",0.194704145078216,-2366.74436279852
"reduce_loss_drought_i1234",0.69025802262678,-8390.49565828253
"rice_profit_no_drought",0.660279436075702,-8026.08815840147
"seed_baseline_i1234",0.611080516551815,7428.04611162244
"seed_applied_i1234",1.47359418993856,17912.4113700235
"seed_advice_i1234",0.322985041002314,3926.07473638218
"price_seed_i1234",1.31129234907147,15939.5362327751
"labor_pick_i1234",0.496832581878931,-6039.29470502142
"rate_seed_inno_i1",0.40026893827703,4865.50634497251
"rate_seed_imitation_i1",0.431770126936794,-5248.42197654265
"rate_seed_inno_i2",0.891282305076898,-10834.0650393212
"rate_seed_imitation_i2",0.882933797359301,10732.5839764991
"rate_seed_inno_i3",0.362298564600483,4403.9539326383
"rate_seed_imitation_i3",0.0980724945359812,-1192.12933805481
"rate_seed_inno_i4",0.61692173905311,7499.04963556507
"rate_seed_imitation_i4",1.2297338989978,-14948.1448996686
"rate_saturated_i12",0.148055606599525,1799.70371025935
"rate_saturated_i34",0.330454245335785,-4016.86734505382
"dis_adoption_i123",1.8948281054917,-23032.7594481522
