"","VIP","Coefficient"
"discount_rate",1.90719420252813,-118946.999591423
"var_CV",0.0122436672486986,763.607335476361
"var_CV_high",0.14743597073656,-9195.21794252311
"chance_inaccurate_forecast_i1",0.239644982491812,-14946.0666337778
"chance_inaccurate_forecast_i234",0.00771107868426952,-480.92096331428
"chance_inaccurate_forecast_extreme_cold_i1234",0.0627513493286719,-3913.64692335189
"chance_inaccurate_forecast_extreme_drought_i1234",0.0979639664189898,-6109.7710228814
"met_station_esta_i1",0.194596087814461,-12136.4781557518
"met_station_main_i1",0.187451498393107,-11690.8877308983
"cost_forecasts_access_i1",0.0370671989854723,2311.78979924313
"cost_weekly_forecasts_i1234",0.039957073551991,2492.02415001208
"cost_seasonal_forecasts_i1234",0.0712816611629103,4445.66143813852
"cost_cb_translation_staff_i1234",0.0293376717281962,-1829.71824392151
"cost_cb_commune_i1234",0.214698583868689,-13390.2212652785
"leftlet_year1_i1234",0.000528285414348148,-32.9478586298802
"village_meeting_launch_i1234",0.050936451600847,-3176.78088561887
"video_i1234_peryear",0.00272492165967785,-169.946644715422
"cost_print_seasonal_bulletinA0_i1234",0.0769032954324101,4796.26890552225
"cost_per_SMS_i123",0.407858768554385,-25437.145683585
"messages_per_time_rice_i123",0.82199433552629,-51265.7598069411
"number_times_per_year_rice_i123",0.14250223363289,-8887.51292513343
"baseline_farm_households_i1234",0.0447787236474835,-2792.73857708945
"baseline_households_i1234",0.0362973756044642,-2263.77781322469
"household_increase_rate",0.127638399068239,7960.49221505314
"messages_per_time_animal_i123",0.0961939738018588,-5999.38094785515
"number_times_per_year_animal_i123",0.237626342186434,-14820.169015559
"percent_animal_households_i1234",0.144441592100986,-9008.46593065662
"allowance_village_leader_permonth_loud_i34",0.038360236453108,2392.43335768657
"percent_short_distance_i4",0.0278209448604619,1735.12372917438
"model_training_i1234",0.264254442336983,16480.8979615306
"model_monitor_i1234",0.155385938841353,-9691.03784993426
"field_visit_i1234",0.0515448799947288,-3214.72706426315
"SAA_TOT",0.0766655706553076,4781.4425973637
"dialogue_village",0.0479504544601338,-2990.55160691951
"cost_community_event",0.0148728927647345,-927.585647683435
"ME_district_i1234",0.159033031580345,9918.49803094765
"ME_commune_i1234",0.0725956571667171,4527.61212880272
"rice_area_drought_i1234",0.546390720405116,34077.0419240125
"chance_drought_i1234",0.818588620789373,51053.3537767195
"reduce_loss_drought_i1234",0.140777662905409,8779.95570136189
"rice_profit_no_drought",0.100257089922208,-6252.7874813201
"seed_baseline_i1234",2.39308469801744,149250.79167082
"seed_applied_i1234",1.4203950432833,-88586.5363942065
"seed_advice_i1234",0.0702486686551603,4381.236242616
"price_seed_i1234",0.439264482143641,27395.8425989373
"labor_pick_i1234",0.476555214717837,29721.5736369128
"rate_seed_inno_i1",0.120735839946168,-7529.99662315988
"rate_seed_imitation_i1",0.0375138078097393,2339.64369035039
"rate_seed_inno_i2",1.16366201648351,72574.7305731847
"rate_seed_imitation_i2",0.182554641907502,11385.4828667159
"rate_seed_inno_i3",0.29347325977947,-18303.2035567271
"rate_seed_imitation_i3",0.181828528203964,-11340.1969455006
"rate_seed_inno_i4",0.0136558106127078,-851.679234981495
"rate_seed_imitation_i4",0.225388124684304,-14056.9015673379
"rate_saturated_i12",0.171762088306927,10712.3779112708
"rate_saturated_i34",0.0840821046301181,-5243.99353344675
"dis_adoption_i123",0.372359215634963,-23223.1261039298
"dis_adoption_i4",0.173623199356239,-10828.4508182294
"effective_rate",3.3816043252128,210902.323295789
"chance_resow_i1234",0.0165997531720581,-1035.28567314078
"chance_resow_advice_i1234",0.0110425303583454,-688.695389426666
"resow_fer_area_percentage_i1234",0.33366277124988,20809.7242865582
"labor_seed_fertilize_i1234",0.0529684212895,-3303.50982460453
"NPK5105_baseline_i1234",1.83673697520442,114552.75605892
"NPK5105_applied_i1234",0.741529779216084,-46247.3838419413
"NPK5105_price_i1234",0.0310341494331102,1935.5233751482
"N_baseline_i1234",3.23412737321221,201704.549452881
"N_applied_i1234",1.06625547494596,-66499.7247656422
"N_price_i1234",0.35654738637304,22236.9813021762
"K_baseline_i1234",1.02116940279813,63687.8176204562
"K_applied_i1234",1.3109163419656,-81758.6197490931
"K_price_i1234",0.052797161399182,-3292.8287675435
"rice_area_loss_severe_risks_i1234",0.399889938723332,-24940.1494168169
"chance_refertilize_i1234",0.162226257647999,10117.6516668286
"chance_refertilize_advice_i1234",0.0177719988454015,1108.39574522645
"rate_fer_pla_inno_i1",0.0609228248585792,-3799.60636098614
"rate_fer_pla_immi_i1",0.221583114460477,-13819.5924621934
"rate_fer_pla_inno_i2",2.25494148765826,140635.140278649
"rate_fer_pla_immi_i2",0.814702458321646,50810.9834062307
"rate_fer_pla_inno_i3",0.103802451230709,6473.90292386637
"rate_fer_pla_immi_i3",0.0149113983057138,929.987143326124
"rate_fer_pla_inno_i4",0.184396051432771,11500.3270382007
"rate_fer_pla_immi_i4",0.0610182714844103,-3805.55913168389
"reduced_times_spray_i1234",0.01637471987658,1021.25090139608
"reduced_cost_per_time_spray_i1234",0.00264220857728545,164.788033723163
"times_monitor_increased",0.191758399048674,-11959.4985046931
"cost_monitor_pest_increased",0.216572538681476,13507.0952060945
"yield_change_i1234",0.251723892501222,-15699.3984665034
"rice_price",0.063958530712037,-3988.93584952604
"rate_ani_inno_i1",0.0188111565167078,1173.20544679772
"rate_ani_immi_i1",0.265382834479978,-16551.2729970639
"rate_ani_inno_i2",0.103881495857528,6478.8327423303
"rate_ani_immi_i2",0.00375767942544453,234.357199959272
"rate_ani_inno_i3",0.0211674953594278,1320.16449008274
"rate_ani_immi_i3",0.15042866917385,9381.86516456568
"rate_ani_inno_i4",0.179807859520396,-11214.1728223357
"rate_ani_immi_i4",0.166158043989706,10362.8674858368
"total_buffalo_i1234",0.0129783902338324,-809.430196355803
"price_buffalo_i1234",0.210844865899206,13149.8743781425
"chance_extreme_cold",0.0572150326413217,3568.36050318802
"reduced_death_animal_i1",0.133704058087917,8338.79241121513
"reduced_death_animal_i2",0.201936861382186,12594.3041020574
"reduced_death_animal_i3",0.0918361958679062,-5727.59708366226
"reduced_death_animal_i4",0.241765763279921,15078.3345020433
"total_cow_i1234",0.0653926391358188,4078.37765564704
"price_cow_i1234",0.226074124210226,-14099.6856662102
"area_pond_impacted_i1234",0.0149778116713943,-934.129181179426
"chance_reduced_risk_fish_death",0.312568824729907,19494.1468562332
"lost_fish_i1234",0.117848004094322,7349.88942199794
